Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
2600 Nicasio Valley Rd Nicasio," 94946	","$3,380,000 ","$2,178,000 ", 07/13/07,4200,71699,5,4,1978," Window(s) Dual Pane, Skylight(s)		"," Sensational, Custom-Designed home with a combination of open, very spacious living areas- and cozy, private sleeping areas. Nestled atop a knoll, on nearly 16.5 acres of prime West Marin property,each room has expansive and private views.Approx 4200 sq ft, 5 bedrooms,4 baths, open-beam ceilings,3 fireplaces,2 ponds, pool with custom fountain, 3 car garage, gated property, central heat with opt solar power, basketball hoop and mini-baseball field", Solar Heating ,1,0,0,0
621 Lilja Ct Roseville," 95678-1344	","$339,000 ","$335,000 ", 06/02/08,1990, N/A,4,2,2005," Window(s) Dual Pane, Photovoltaic Power, Tankless Wtr Heater", ~~Bank Owned~~ Wonderful single story in a new community. Walk to The Galleria and the Fountains. Over 1900 sq ft with 4 br and 2 baths. Great room concept. A must see. Will go fast priced to sell, Photovoltaic Power ,0,0,1,0
2657 Bickleigh Loop Roseville," 95747	","$494,950 ","$465,443 ", 08/08/08,3388,8159,5,4,NA," Window(s) Dual Pane, Photovoltaic Power, Other		"," Beautiful new Lennar SolarPlus home in popular Westpark in Roseville. Spacious 5 Bedroom, 3 Baths plus powder room, Bonus room, granite slab countertops in kitchen and baths, GE Profile stainless steel appliances, cocoa stained beech cabinets, and upgraded flooring throughout", Photovoltaic Power ,0,0,1,0
209 Hillsford Ct Roseville," 95747	","$544,950 ","$489,472 ", 08/19/08,3839,10139,5,5,NA," Window(s) Dual Pane, Photovoltaic Power		"," Incredible home in popular Westpark in Roseville. Spacious 5 Bedroom, 4 Baths plus powder room, 4 car double tandem garage. This home has it all ~ SolarPlus, granite slab countertops in kitchen and baths, GE Profile stainless steel appliances, cocoa stained beech cabinets, and upgraded flooring. Located on a large cul-de-sac homesite", Photovoltaic Power ,0,0,1,0
2574 Woodgate Way Roseville," 95747	","$535,950 ","$475,000 ", 08/29/08,3864,7350,5,5,NA," Window(s) Dual Pane, Photovoltaic Power		"," Lennar SolarPlus energy efficient home in popular Westpark in Roseville. Fabulous home offering granite slab countertops, GE Profile stainless steel appliances, cocoa stained beechwood raised panel cabinets, 18 x 18 tile flooring and upgraded carpet throughout. Large downstairs 5th bedroom with private bath", Photovoltaic Power ,0,0,1,0
2582 Woodgate Way Roseville," 95747	","$439,950 ","$435,884 ", 07/22/08,2629,7350,4,3,NA," Window(s) Dual Pane, Photovoltaic Power		"," Single story Lennar SolarPlus energy efficient home in popular Westpark in Roseville. Ready to move in July. Spanish style home offering huge kitchen with granite slab countertops, GE Profile stainless steel appliances, beechwood raised panel cabinets, nook and pantry closet. Upgraded carpet and 18 x 18 tile flooring", Photovoltaic Power ,0,0,1,0
2625 Hearthside Way Roseville," 95747-8873	","$409,000 ","$400,000 ", 11/20/08,2779,8125,4,3,NA," Window(s) Dual Pane, Photovoltaic Power		"," Beautiful Solar Plus Home in the Fiddyment Farms Master Planned community. Kitchen has raised panel beechwood cabinets in a cocoa stain, GE stainless steel appliance with granite countertop. This home features a downstairs master bedroom with 3 oversized bedrooms upstairs. Large backyard - approximately 39 feet from rear of house. Ready for October move-in", Photovoltaic Power ,0,0,1,0
2665 Bickleigh Loop Roseville," 95747	","$594,950 ","$541,482 ", 07/30/08,4367,9977,5,5,NA," Window(s) Dual Pane, Photovoltaic Power		"," Fabulous home in popular Westpark in Roseville. Spacious 5 Bedroom, 4 Baths plus powder room, Bonus room, SolarPlus, granite slab countertops in kitchen and baths, GE Profile stainless steel appliances, cocoa stained beech cabinets, and upgraded flooring throughout. Four bay double tandem garage", Photovoltaic Power ,0,0,1,0
4694 Village Mill Way Rancho Cordova," 95742-8111	","$358,180 ","$359,000 ", 04/06/09,2768,8146,4,3,NA," Window(s) Dual Pane, Photovoltaic Power		"," Fabulous 2 story Lennar SolarPlus home with open floor plan great for entertaining. The kitchen features granite countertops, beechwood raised panel cabinets, GE stainless steel appliances, including double oven & 5 burner gas cooktop. Upgraded flooring throughout. Large backyard", Photovoltaic Power ,0,0,1,0
1565 Radford Loop El Dorado Hills," 95762-9514	","$484,965 ","$471,965 ", 11/26/08,2768,6839,4,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Quick close on new solar home in the Blackstone Master Planned Community. Beautiful home featuring upgrades throughout including granite countertops in kitchen and baths, cocoa stained beechwood cabinetry, stainless steel appliances, hardwood flooring and backyard landscaping", Photovoltaic Power ,0,0,1,0
2019 Larkstone Pl El Dorado Hills," 95762	","$540,805 ","$513,305 ", 11/20/08,3117,7497,5,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Beautiful Zinfandel plan on corner homesite with rear yard landscaping. Features hardwood flooring, Berber carpet, 18 x 18 tile, GE Profile stainless steel appliances, slab granite counters, SolarPlus and much more", Photovoltaic Power ,0,0,1,0
2025 Larkstone Pl El Dorado Hills," 95762	","$514,965 ","$474,965 ", 11/18/08,2768,6781,4,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Quick close on new solar home in the Blackstone Master Planned Community. Beautiful home featuring upgrades throughout including granite countertops in kitchen and baths, beechwood cabinetry, stainless steel appliances, hardwood flooring and backyard landscaping", Photovoltaic Power ,0,0,1,0
2581 Roxby Way Roseville," 95747-8852	","$435,000 ","$407,915 ", 03/31/09,3117,7350,5,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Openess and spaciousness is offered in this fabulous 5 bedroom, 3 full bath home. Double ovens, granite countertops and a double sided fireplace makes this solar energy efficient home a must see", Photovoltaic Power ,0,0,1,0
3097 Village Center Dr Roseville," 95747	","$315,000 ","$300,120 ", 11/19/08,2172,3797,3,3,NA," Window(s) Dual Pane, Photovoltaic Power"," WOW! 2,172 square feet in West Roseville under $325,000. New Lennar SolarPlus home with granite slab countertops, GE Profile stainless steel appliances, beechwood cabinets, and upgraded carpet", Photovoltaic Power ,0,0,1,0
4690 Village Mill Way Rancho Cordova," 95742	","$356,025 ","$338,250 ", 12/12/08,2316,7150,4,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Beautiful two story Lennar SolarPlus home. Open floor plan great for entertaining. Very large rear yard for possible pool. The kitchen features granite countertops and GE stainless steel appliances, upgraded flooring throughout. Nicely appointed family home", Photovoltaic Power ,0,0,1,0
5330 Dusty Rose Rancho Cordova," 95742	","$342,815 ","$302,845 ", 10/31/08,2452,6612,4,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Beautiful 2 story solar home with landscaped front and backyard. The kitchen features granite countertops and stainless steel appliances and 18 x 18 tile and upgraded carpet. Great floor plan with larger master suite, laundry upstairs and spacious loft. Large backyard and lots of spacing between the homes", Photovoltaic Power ,0,0,1,0
5417 Almond Falls Way Rancho Cordova," 95742	","$357,680 ","$325,000 ", 11/21/08,2363,7150,4,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Spectacular two story Lennar SolarPlus home with side covered courtyard and 20' side yard. This open floor plan features kitchen granite countertops and GE stainless steel appliances, and beechwood raised cabinets. Upgraded flooring throughout. Finished garage and front & rear yard landscaping. Ready to move in", Photovoltaic Power ,0,0,1,0
5421 Almond Falls Way Rancho Cordova," 95742	","$345,115 ","$340,500 ", 11/26/08,2753,7150,5,3,NA," Window(s) Dual Pane, Photovoltaic Power"," Spectacular two story Lennar SolarPlus home with side covered courtyard and 20' side yard. This open floor plan features kitchen granite countertops, GE stainless steel appliances, and dark stained beechwood raised cabinets. Upgraded flooring throughout. Ready to move in", Photovoltaic Power ,0,0,1,0
1097 Tilton Rd Sebastopol," 95472	","$1,649,000 ","$1,449,000 ", 11/16/07,6500,99317,4,5,1980," Window(s) Dual Pane, Other, Solar Domestic Water"," Located in the prestigious Twin Hills area of Sebastopol, this gated Estate offers 2+ acres of landscaped privacy with incredible panoramic views. Other features include 4 large bedrooms, 4.5 baths, 2 full kitchens, large indoor pool, game room, gym room, wine cellar, darkroom, office, three 2-car garages/workshops, greenhouse and more. Solar system sells energy to PG&E and keeps monthly electricity bill low", Solar Heating ,1,0,0,0
1718 W Socap Sacramento," 95811-6226	","$389,990 ","$389,990 ", 10/08/09,1179,1394,2,3,NA," Window(s) Dual Pane, Other		"," So Cap Lofts is downtown's latest urban loft community located minutes from shopping, restaurants, the state capitol and Crocker Art Museum. So Cap Lofts offers easy access to work and play. Each 3 story loft includes solar panels, 2 car garages, iron railing, exposed ducting, granite counters, stainless steel appliances, private decks and more", Solar Heating ,1,0,0,0
1724 E Socap Sacramento," 95814	","$414,315 ","$399,990 ", 10/03/08,1179,1368,2,3,2008," Window(s) Dual Pane, Other		"," So Cap Lofts is downtown's latest urban loft community located minutes from shopping, restaurants, the state capitol & Crocker Art Museum. So Cap Lofts offers easy access to work & play. Each 3 story loft includes solar panels, 2 car garages, iron railing, exposed ducting, granite counters, stainless appliances, private decks and more. Roof is membrane. Pictures are of model", Solar Heating ,1,0,0,0
406 Oak Mesa Ct Santa Rosa," 95409	","$649,000 ","$565,000 ", 09/03/10,2812,19515,3,3,1977," Window(s) Dual Pane, Other		"," Beautiful Mountain Views from this hillside custom home in the heart of Oakmont. This 3bd/3ba home features den,office,large living/dining room with vaulted ceilings. Custom kitchen with granite opening to family room on single level and large bonus room with full bath below that opens out to inground pool and lovely landscaped yard with waterfalls. New paint inside and out. New carpets. New tankless hot water heater. Incredible Value!!", Solar Heating ,1,0,0,0
1721 6th St Sacramento," 95811	","$389,990 ","$389,990 ", 10/28/09,1179,1368,2,3,NA," Window(s) Dual Pane, Other"," So Cap Lofts is downtown's latest urban loft community. Located minutes from shopping, restaurants, the state capitol and Crocker Art Museum. So Cap Lofts offers easy access to work and play. Each 3 story loft includes solar panels, 2 car garages, iron railing, exposed ducting, granite counters, stainless appliances, private decks and more", Solar Heating ,1,0,0,0
1408 Dawes St Novato," 94947	","$665,000 ","$650,000 ", 08/22/08,1400,7579,4,2,1957," Window(s) Dual Pane, Low-Flow Toilet(s), Solar Heating		"," It's time for a pool party!This 'picture perfect' 4BD/2BA home is perfect for indoor/outdoor entertaining!Wonderful open floorplan -Many upgrades include roof,pool, kitchen,paint,double paned windows. Large din.rm!Beautifully remodeled guest bath-Master bdrm opens to the outdoors-Low maint.yard with ample area for entertaining or play=hot tub included!Beautiful rose gardens! Desirable location on a quiet street!Note: Handicap accessible", Passive Solar ,0,1,0,0
7 Illes Ct Novato," 94945	","$402,700 ","$399,000 ", 08/22/08,1145,N/A,3,2,2007," Window(s) Dual Pane, Low-Flow Toilet(s), Passive Solar		"," Stroll to happenin' downtown Novato from this almost-new, stylish home that's certified GREEN! 40-yr roof, 50-yr siding, tankless water heater, passive solar heating...it's cutting edge. Master suite on main floor w/full bath, attractive up-down window coverings, laminate floors, stainless appliances, recessed lighting and attached garage. It's charming. Below-market-rate restrictions apply", Passive Solar ,0,1,0,0
3435 Williams Ranch Rd Willits," 95490	","$449,000 ","$449,000 ", 07/15/06,1188,10890,3,2,2000," Window(s) Dual Pane, Floor Insulation, Other"," 25 acres with wonderful views and peaceful settings! Newer manufactured home on foundation, large deck for entertaining, detached shop/garage, large garden area", Solar Heating ,1,0,0,0
456 Prentiss San Francisco," 94110	","$499,000 ","$555,000 ", 02/10/10,576, N/A,2,1,1914," Window(s) Dual Pane		Floor Covering(s)	CarpetHeating	Solar		Kitchen Appl Incl	220 Volt Wiring, Dishwasher(s), Freezer, Range Gas, Range/Oven F/S, Refrigerator(s)Kitchen Description	Counter Marble, Remodeled/Updated		Lower Level/Basement	2 BedroomsLandscape/Fencing	Back, Garden/Play		Laundry/Appliances	Washer/Dryer IncludFeatures Misc	Patio(s)/Balcony(s)		Main Level	1 Bath, Dining Room, Family Room, Kitchen, Living RoomService Level	"," Embrace your inner Artist! This Bernal Hgts Retreat is both amazing & eclectic! Detached (currently), natural light, a great room that opens onto a grand lanscaped garden w/ mature trees & flowering plants. And green, green! Solar panels that make PGE bills almost insignificant,on demand water heater, ceramic tile wall heaters. 2 yr old roof updtd systems, mostly new windows, 2 bdrms + loft in the pitch! (Rooms down may be unwarranted)Kitchen w/Carerra marble & stainless! Walk to Cortland St", Solar Heating ,1,0,0,0
520 Clipper St San Francisco," 94114	","$1,899,000 ","$2,150,000 ", 04/20/06,N/A, N/A,4,4,2006," Window(s) Dual Pane		Family Room	Deck AttachedFloor Covering(s)	Hardwood		Foundation	Concrete PerimeterGarage/Parking	Attached, Garage, Garage Door Opener, Interior Access		Heating	Radiant, SolarKitchen Appl Incl	Dishwasher(s), Disposal, Range Gas, Ice Maker, Microwave, Refrigerator(s)		Kitchen Description	Island, Remodeled/UpdatedLower Level/Basement	1 Bath, 1 Bedroom		Landscape/Fencing	Back, Fenced YardLaundry/Appliances	Hookups Only, In Laundry Room		Living Room	Deck Attached, ViewFeatures Misc	Deck(s)		Main Level	1 Bedroom, Dining Room, Kitchen, Living Room# of Parking Spaces	Two		Probate Sale	NoRoom Description	Den/Study, Wine Storage Area		Security Features	Security Alarm(s)# of Stories	3 or More		Style Description	Contemporary, Modern/High TechType Listing	"," Brown & Co. and Lorax Development present the Greenest Home in San Francisco. Brand new Solar powered 4BR/4BA view home near 24th St. shops. Gourmet kitchen opens to living room w/massive view from huge patio. Light filled upper level has Master suite w/pano views + 2 more Bdrms w/shared bath. Hdwd, slate & limestone slab throughout. Family Room on lower level has 14' ceilings, walk out to landscaped yard w/large Trex deck. Wine cellar. 2+ car garage. Cat5 wiring & radiant floor heating", Solar Heating ,1,0,0,0
1125 Hayes St San Francisco," 94117-1623	","$2,395,000 ","$2,260,000 ", 02/27/09,3845, N/A,4,4,1930," Window(s) Dual Pane		"," Extraordinary, three-level Spanish Colonial Revival, on Alamo Square. Great layout, gorgeous views, and grand scale! Well maintained and tastefully updated. Large rooms with exquisite floors, period lighting, dramatic arched windows, mahogany trim and vaulted ceilings. Remodeled eat-in kitchen open to family room. 3 bedrooms, 2 baths up. Large office, 4th bedroom, and more down. Private, off-street parking, central location, peaceful garden and deck, and eco-friendly touches. www.1125Hayes.co", Solar Heating ,1,0,0,0
113 Mustang Ct Pope Valley," 94567-9432	","$569,000 ","$569,000 ", 04/26/05,2800,35284,3,3,1993," Window(s) Dual Pane		"," This home has so many desirable features! Mediterranean style home, built with loving care. Inground pool, tiled veranda, wine cellar, gentleman's vineyard, lighted tennis court, hot tub with pergola. Fully fenced and nicely landscaped with olive and redwood trees, palms. 3 bedrooms, office (or 4th bd), 3 full baths, 3 fireplaces, formal dining. Mexican paver and hardwood flooring, kitchen with tiled counters and island. Stunning water views", Solar Heating ,1,0,0,0
